march , warn
win , wind
battle , wind
cost , datum
lead , want
america , want
congress , republicans
lead , republicans
lead , you
america , you
change , lead
agreement , lead
federal , lead
agreement , america
think , worth
trump , worth
urge , worth
leader , think
stay , think
change , think
flood , think
corporate , think
climate , think
normal , think
science , think
hand , think
city , think
stay , trump
change , trump
flood , trump
stay , urge
change , urge
flood , urge
deal , urge
deal , stay
climate , stay
deal , paris
city , flood
hand , science
city , science
build , science
city , hand
build , hand
build , city
help , resilience
help , washington
decision , force
day , force
activism , force
cost , force
emergency , force
earth , force
cost , look
emergency , look
america , look
dearly , look
deny , look
election , look
day , decision
decision , hard
look , science
activism , science
president , science
emergency , science
election , wait
cost , wait
election , emergency
cost , union
fight , union
research , union
america , union
dearly , union
defunding , union
climate , union
beginning , union
america , cost
beginning , cost
cost , fight
dearly , fight
climate , worker
climate , defunding
cost , defunding
america , defunding
dearly , defunding
cost , research
america , research
dearly , research
beginning , research
beginning , dearly
end , march
advocate , end
advocate , resistance
earth , resistance
advocate , climate
earth , turn
day , turn
movement , turn
change , turn
geography , movement
global , movement
geography , warming
change , global
geography , global
american , geography
child , fight
cut , work
crisis , work
budget , work
drive , work
change , cut
cost , cut
cost , drive
action , cost
action , justice
action , environmental
climate , environmental
it , march
it , prove
prove , science
rewrite , try
science , try
step , try
community , try
rewrite , trump
adopt , fight
administration , fight
community , fight
adopt , america
america , good
adopt , good
economic , good
adopt , policy
america , economic
adopt , economic
administration , adopt
fill , state
leadership , state
leave , state
climate , fill
leave , vacuum
heat , trump
extreme , trump
deadly , trump
crisis , heat
deadly , heat
health , heat
crisis , extreme
crisis , deadly
crisis , health
crisis , public
alarm , march
china , march
leader , march
alarm , referendum
denial , referendum
american , referendum
china , referendum
leader , referendum
advocate , referendum
climate , referendum
alarm , denial
alarm , american
policy , retreat
climate , retreat
america , world
america , leader
advocate , step
protect , step
protect , sue
generation , sue
future , sue
generation , protect
future , protect
generation , illegal
climate , illegal
future , illegal
generation , law
adopt , connection
change , connection
administration , connection
america , connection
community , connection
climate , connection
american , connection
connection , hide
fight , hide
adopt , hide
change , hide
democracy , hide
crisis , opioid
democracy , threaten
american , threaten
fight , threaten
adopt , threaten
march , threaten
scientist , survival
erase , survival
administration , scientist
create , scientist
try , work
administration , work
erase , work
trump , work
create , work
erase , try
create , try
action , try
job , try
create , erase
action , erase
country , create
accelerate , create
country , job
accelerate , job
coal , job
community , job
governor , job
change , job
accelerate , lose
community , lose
governor , lose
change , lose
justice , lose
commit , lose
climate , lose
level , lose
accelerate , country
community , country
change , country
accelerate , coal
accelerate , march
governor , march
justice , science
accelerate , today
accelerate , governor
commit , governor
change , governor
climate , governor
community , governor
action , governor
climate , commit
accelerate , commit
action , commit
change , commit
accelerate , climate
accelerate , change
level , sea
rise , sea
projection , rise
community , rise
prior , rise
denial , unite
activist , unite
community , scientific
activist , denial
act , denial
act , climate
act , wait
divesting , wait
mainstream , wait
require , wait
act , washington
divesting , washington
mainstream , washington
require , washington
crisis , divesting
institution , mainstream
crisis , mainstream
feel , mainstream
mobilization , require
feel , require
day , require
american , require
flee , require
earth , require
emergency , require
debate , require
feel , mobilization
american , mobilization
flee , mobilization
day , mobilization
continue , mobilization
mobilization , world
scale , world
scientist , world
feel , world
american , world
flee , world
scale , war
mobilization , war
mobilization , scale
feel , scale
american , scale
flee , scale
flee , scientist
overseas , scientist
continue , scientist
feel , scientist
reshape , scientist
continue , flee
climate , flee
change , flee
continue , overseas
climate , continue
change , continue
america , continue
change , research
land , research
land , reshape
america , reshape
public , reshape
land , public
emergency , feel
debate , feel
existence , feel
americans , feel
advocate , feel
debate , urgent
debate , worsen
washington , worsen
existence , worsen
americans , worsen
advocate , worsen
ordinary , worsen
stop , worsen
debate , emergency
americans , emergency
advocate , emergency
americans , debate
advocate , debate
debate , washington
existence , washington
americans , ordinary
advocate , ordinary
advocate , americans
era , trump
disappear , stop
it , stop
affect , stop
disappear , economy
economy , energy
scientist , trump
disappear , trump
it , trump
affect , trump
issue , trump
disappear , scientist
it , scientist
affect , scientist
archiving , scientist
affect , disappear
change , disappear
climate , disappear
care , disappear
disappear , it
affect , it
change , it
affect , change
care , change
affect , climate
care , issue
democrat , issue
care , democrat
case , lead
create , lead
action , lead
case , europe
create , europe
action , europe
climate , europe
change , europe
case , world
create , world
action , world
change , world
wave , world
leadership , pruitt
leadership , scott
refugee , wave
rock , wave
story , wave
miss , wave
american , wave
miss , rock
climate , rock
medium , rock
it , rock
end , rock
rock , stand
miss , stand
miss , story
medium , story
it , story
end , story
it , medium
end , medium
denial , medium
intensify , medium
change , medium
it , miss
end , miss
denial , miss
intensify , miss
march , miss
message , miss
fight , miss
liability , miss
fuel , miss
leadership , miss
important , miss
define , miss
end , it
denial , it
intensify , it
intensify , march
clear , march
end , send
message , send
denial , send
intensify , send
change , send
clear , send
climate , send
fight , send
liability , send
fuel , send
leadership , send
important , send
define , send
change , end
define , end
disappear , end
afford , end
crisis , end
america , end
abandon , end
end , message
denial , message
intensify , message
change , message
define , denial
fight , intensify
fuel , intensify
important , intensify
define , intensify
hurricane , intensify
force , intensify
season , tornado
fight , tornado
hurricane , tornado
researcher , tornado
fight , season
economic , fight
movement , researcher
force , researcher
pressure , researcher
pressure , speak
political , speak
climate , youth
movement , youth
agreement , force
force , political
agreement , political
generation , treaty
generation , international
change , town
disappear , town
climate , town
gutte , town
moment , town
big , change
epa , gutte
big , gutte
decade , gutte
decade , epa
progress , set
climate , set
decade , set
moment , set
decade , progress
cost , decade
hoax , warming
furious , warming
cost , warming
furious , scientist
hide , scientist
alter , scientist
cost , furious
claim , furious
alter , furious
crisis , furious
alter , cost
cost , hide
alter , hide
alter , retreat
alter , climate
danger , length
fire , length
human , solution
change , solution
severe , solution
need , solution
human , partisan
need , scientist
line , scientist
drought , scientist
common , scientist
plan , scientist
emergency , line
climate , line
common , severe
need , severe
america , severe
plan , severe
march , severe
common , drought
march , need
action , need
action , america
march , plan
moment , movement
big , movement
big , climate
afford , denial
crisis , denial
liability , party
great , party
afford , party
fuel , party
inaction , party
hope , party
alive , party
party , republican
liability , republican
great , republican
afford , republican
afford , liability
fuel , liability
inaction , liability
hope , liability
alive , liability
crisis , liability
american , liability
afford , great
fuel , great
alive , great
afford , world
inaction , world
change , inaction
hope , scientist
alive , scientist
moment , scientist
alive , climate
alive , hope
moment , political
crisis , fuel
border , fuel
border , change
border , crisis
crisis , humanitarian
important , leadership
define , leadership
abandon , leadership
abandon , important
define , important
cost , important
cost , term
dismantle , term
cost , long
america , dismantle
leader , legacy
polite , scientist
overnight , scientist
change , polite
crisis , polite
action , crisis
crisis , infrastructure
protect , worse
action , worse
issue , worse
wetland , worse
advocate , strategy
bring , strategy
collapse , strategy
permanent , strategy
kid , strategy
climate , powerful
advocate , powerful
bring , powerful
collapse , powerful
permanent , powerful
drain , issue
budget , issue
clean , issue
energy , issue
advocate , issue
grief , issue
day , issue
issue , single
important , single
scientist , single
drain , single
cut , single
revolution , single
drain , important
cut , important
scientist , time
stop , time
drain , scientist
nurse , scientist
budget , scientist
revolution , scientist
government , scientist
nurse , teacher
drain , teacher
march , teacher
stop , teacher
change , teacher
budget , teacher
march , nurse
drain , nurse
climate , nurse
budget , drain
budget , climate
budget , government
government , state
local , state
budget , state
government , local
budget , local
revolution , stop
grief , stop
day , stop
clean , cut
advocate , cut
advocate , revolution
grief , revolution
day , revolution
action , advocate
grief , turn
action , turn
thousand , turn
activist , turn
day , grief
action , grief
activist , thousand
climate , thousand
fight , overnight
defining , overnight
defining , fight
generation , struggle
change , frontline
climate , frontline
leadership , reclaim
failure , reclaim
mark , reclaim
failure , leadership
day , failure
beginning , failure
earth , failure
failure , washington
mark , washington
day , washington
beginning , washington
reshape , washington
beginning , mark
life , mark
global , mark
american , mark
beginning , day
beginning , earth
find , resistance
hope , resistance
find , scientist
science , today
life , reshape
american , reshape
notice , reshape
reshape , warming
life , warming
american , warming
notice , way
barely , way
voter , way
force , way
force , notice
change , notice
decisive , notice
march , notice
notice , we
barely , we
voter , we
force , we
force , voter
decisive , voter
march , voter
change , disinformation
action , disinformation
act , disinformation
climate , disinformation
action , demand
act , demand
disinformation , emergency
march , vote
organize , vote
spread , vote
earth , vote
day , vote
vote , we
march , we
organize , we
earth , we
day , we
earth , march
day , march
earth , organize
day , organize
act , action
funding , support
act , form
level , story
young , youth
commit , force
clear , white
resistance , underground
feel , find
end , quit
push , struggle
drive , pressure
severe , strong
feel , look
business , draw
heat , wake
run , turn
run , wind
build , organize
oppose , struggle
build , form
existence , public
global , world
action , sue
need , require
form , run
bad , great
bad , big
country , earth
deny , refuse
bring , run
form , turn
drive , energy
feel , notice
commit , send
prove , try
define , position
border , march
define , defining
bring , turn
mark , position
demand , want
act , bring
alive , live
drive , force
good , right
dismantle , story
drive , push
rise , try
feel , wait
care , deal
bring , earth
mark , notice
hot , live
battle , fight
lead , run
pressure , push
require , want
hand , mass
prove , rise
earth , world
good , powerful
bad , worse
bring , form
commit , draw
bring , country
find , look
act , grow
bring , state
rest , stay
global , public
lead , wind
dangerous , hard
alive , survive
land , work
job , line
act , turn
force , power
land , state
build , progress
lead , leave
drive , pull
need , want
public , world
hot , survive
demand , require
land , world
existence , world
drive , power
stand , support
rise , turn
battle , struggle
pressure , pull
act , run
pull , send
rest , stop
quarter , run
feel , happen
