leader , sign
ahead , sweeping
climate , sweeping
cost , sweeping
ahead , climate
cost , hide
america , bankrupt
agreement , bankrupt
americans , bankrupt
bankrupt , inaction
america , inaction
employ , inaction
grow , inaction
community , inaction
community , indigenous
change , line
crisis , line
climate , line
science , teach
document , teach
plan , teach
climate , teach
movement , teach
know , teach
sue , teach
report , teach
agreement , teach
new , teach
confirm , teach
need , teach
obama , teach
clean , teach
power , teach
stop , teach
fuel , teach
divestment , teach
exxonmobil , teach
hide , teach
decade , undo
teach , undo
employ , undo
grow , undo
sue , undo
report , undo
agreement , undo
climate , undo
school , undo
science , undo
americans , undo
it , undo
fast , undo
disrupt , undo
progress , undo
industry , progress
industry , warn
solar , warn
industry , solar
americans , employ
agreement , employ
climate , employ
disrupt , employ
fast , grow
disrupt , grow
change , grow
agriculture , grow
agreement , grow
climate , grow
grow , it
fast , it
disrupt , it
agriculture , it
disrupt , fast
change , fast
agriculture , fast
agriculture , disrupt
day , disrupt
agriculture , change
agriculture , climate
security , threaten
food , threaten
earth , threaten
day , security
earth , security
day , food
america , school
document , school
plan , school
climate , school
movement , school
know , school
document , science
plan , science
movement , science
know , science
know , movement
exxonmobil , movement
hide , movement
divestment , fuel
divestment , fossil
change , exxonmobil
exxonmobil , huge
hide , huge
exxonmobil , victory
know , victory
hide , victory
hide , know
change , know
it , know
climate , know
confirm , document
clean , document
document , new
cool , plan
confirm , plan
important , plan
help , plan
clean , obama
cool , obama
plan , power
cool , power
help , regulation
cool , regulation
history , regulation
electric , regulation
fight , regulation
climate , important
help , important
cool , important
history , important
cool , stop
help , history
history , u.s
fight , help
cool , help
help , vehicle
stop , vehicle
fight , vehicle
fight , win
stop , win
change , win
agreement , fight
agreement , change
confirm , need
event , need
bad , need
extreme , need
need , we
event , we
event , extreme
bad , extreme
event , weather
bad , weather
confirm , study
scientist , study
pledge , study
exceed , governor
commitment , governor
blue , governor
governor , issue
exceed , issue
exceed , pledge
melt , pledge
commitment , pledge
paris , pledge
greenland , pledge
ice , pledge
pledge , state
commitment , exceed
climate , exceed
change , commitment
commitment , paris
change , movement
climate , youth
movement , youth
greenland , politics
ice , politics
melt , politics
melt , sheet
rate , sheet
rate , unprecedented
issue , scientist
record , scientist
evidence , scientist
hit , issue
high , issue
embrace , issue
investment , issue
hit , investment
clean , election
high , record
embrace , record
action , record
link , record
million , record
lead , record
embrace , high
action , high
action , embrace
climate , embrace
embrace , world
action , world
climate , world
lead , link
city , link
climate , link
deny , member
congress , crisis
crisis , syrian
refugee , syrian
member , syrian
congress , syrian
deny , syrian
crisis , refugee
member , refugee
congress , refugee
deny , refugee
lead , million
city , million
city , fuel
city , fossil
city , industry
action , lead
action , way
shrink , way
shrink , washington
warming , washington
park , washington
park , shrink
national , shrink
shrink , warming
park , warming
national , warming
evidence , startling
bad , leak
crisis , leak
leak , methane
bad , methane
bad , crisis
change , think
frequent , think
dangerous , think
big , think
think , we
frequent , we
dangerous , we
big , change
dangerous , frequent
frequent , wildfire
big , wildfire
dangerous , wildfire
stop , we
stop , technology
change , technology
climate , technology
change , stop
lack , we
binding , paris
binding , legally
cost , threaten
coastal , threaten
right , threaten
denial , threaten
future , threaten
accounting , threaten
issue , threaten
drought , link
cost , link
community , link
california , link
deal , link
acidification , link
denial , link
future , link
accounting , link
america , link
coastal , link
economic , link
evil , link
it , link
affect , link
link , scientist
drought , scientist
cost , scientist
community , scientist
right , scientist
california , scientist
deal , scientist
opportunity , scientist
acidification , scientist
denial , scientist
future , scientist
accounting , scientist
climate , drought
cost , drought
change , drought
community , drought
deal , drought
acidification , drought
denial , drought
accounting , drought
acidification , climate
cost , deal
opportunity , paris
cost , opportunity
acidification , ocean
acidification , burden
change , twin
threaten , twin
cost , twin
it , twin
nye , twin
change , evil
bill , it
day , it
day , nye
cost , denial
affect , denial
community , cost
accounting , cost
future , we
affect , we
affect , future
affect , change
affect , climate
america , health
health , mental
cost , mental
cost , real
fuel , real
accounting , new
issue , new
change , new
change , damage
issue , right
save , study
literally , study
drive , study
dollar , study
specie , study
matter , study
provide , study
spend , study
city , new
literally , new
drive , new
dollar , new
action , dollar
save , spend
action , spend
dollar , relief
action , city
study , underwater
literally , underwater
drive , underwater
drive , literally
drive , transform
specie , transform
matter , transform
rural , transform
america , transform
climate , transform
extinction , transform
rate , transform
it , transform
earth , transform
come , transform
disrupt , transform
drive , revolution
change , revolution
matter , revolution
climate , revolution
come , drive
disrupt , drive
alarming , drive
change , rural
america , rural
climate , rural
drive , rural
matter , specie
extinction , specie
rate , specie
it , specie
earth , specie
come , specie
disrupt , specie
pentagon , rate
quiet , rate
matter , rate
change , rate
change , pentagon
change , war
climate , war
change , quiet
earth , matter
come , matter
disrupt , matter
founder , matter
far , matter
day , matter
global , matter
climate , matter
earth , it
founder , it
far , it
come , earth
disrupt , earth
come , founder
disrupt , founder
come , vision
disrupt , vision
far , vision
need , vision
refugee , vision
disrupt , far
disrupt , we
disrupt , need
circulation , disrupt
refugee , warming
ocean , warming
system , warming
disrupt , global
climate , ocean
circulation , ocean
refugee , system
climate , system
energy , face
face , human
energy , human
power , provide
energy , warming
energy , global
energy , wind
home , million
american , million
company , million
fight , million
company , home
fight , home
action , home
action , company
climate , company
company , oil
fight , oil
action , oil
action , fight
disaster , fight
disaster , profit
face , help
america , help
government , help
change , help
help , pricing
lead , pricing
face , pricing
power , pricing
america , pricing
kid , pricing
government , pricing
face , lead
kid , lead
government , lead
climate , lead
government , kid
change , kid
provide , sue
change , sue
face , sue
power , sue
change , government
government , u.s
provide , they
report , they
face , they
power , they
case , they
new , they
ipcc , they
provide , report
face , report
power , report
ipcc , new
provide , we
face , we
power , we
study , we
city , we
literally , we
reshape , we
prescribe , we
settle , we
avoid , we
avoid , year
provide , year
bad , year
face , year
power , year
study , year
city , year
literally , year
drive , year
reshape , year
prescribe , year
settle , year
live , reshape
city , reshape
literally , reshape
drive , reshape
prescribe , reshape
americans , reshape
matter , reshape
provide , reshape
action , reshape
agreement , reshape
agreement , live
city , live
literally , live
drive , live
agreement , americans
trillion , unlock
doctor , unlock
doctor , trillion
investment , trillion
doctor , investment
doctor , green
action , prescribe
literally , prescribe
drive , prescribe
climate , prescribe
matter , prescribe
health , prescribe
priority , public
literally , science
drive , science
literally , settle
drive , settle
save , settle
matter , settle
provide , settle
act , time
city , polluted
fight , polluted
action , change
fight , inaction
expensive , inaction
divest , inaction
city , inaction
come , inaction
expensive , far
divest , expensive
city , expensive
come , expensive
come , divest
change , divest
city , divest
climate , divest
deal , divest
beginning , divest
beginning , come
beginning , deal
beginning , paris
conflict , fuel
meet , story
scientist , story
fight , story
prove , story
dedicate , story
movement , story
deal , story
story , untold
meet , untold
scientist , untold
fight , meet
dedicate , meet
it , meet
life , meet
deal , win
paris , win
meet , win
deal , movement
deal , environmental
dedicate , scientist
life , scientist
fight , scientist
prove , scientist
action , dedicate
fight , life
it , number
change , number
it , prove
erase , help
hard , help
crisis , help
expensive , help
divest , help
americans , help
come , help
global , help
american , help
change , diet
erase , fight
prove , warming
erase , warming
hit , warming
american , crisis
change , erase
american , erase
bank , erase
bank , site
finally , site
risk , site
seriously , site
change , site
prove , site
hit , site
investor , site
american , native
bank , native
finally , native
bank , sacred
finally , sacred
risk , sacred
finally , investor
climate , finally
hard , hit
americans , poor
hard , poor
come , poor
come , hard
far , hard
expensive , hard
divest , hard
change , hard
hand , hard
day , hard
prove , way
come , way
hand , way
day , way
number , way
it , way
far , way
u.s , way
growth , way
earth , way
prove , surprising
come , surprising
action , surprising
hand , surprising
day , surprising
day , growth
day , hand
earth , hand
climate , far
come , u.s
prove , u.s
climate , u.s
explain , scientist
mean , scientist
hit , scientist
farmer , scientist
agreement , english
english , plain
mean , plain
mean , threaten
supply , threaten
case , threaten
explain , threaten
hit , threaten
case , change
mean , supply
case , supply
agreement , supply
explain , supply
supply , water
mean , water
case , water
agreement , case
deal , green
deal , new
boat , climate
farmer , hit
agreement , hit
boat , lift
hit , lift
denial , lift
hard , lift
explain , lift
farmer , lift
defend , lift
defend , denial
defend , hard
energy , hard
battle , hard
battle , defend
energy , renewable
battle , renewable
battle , energy
battle , win
adapt , they
action , case
case , moral
demand , moral
justice , moral
case , wildfire
sink , wildfire
demand , wildfire
island , wildfire
action , wildfire
justice , wildfire
demand , justice
act , we
demand , we
justice , we
case , we
demand , way
america , way
justice , way
case , way
demand , fight
case , island
change , island
case , sink
change , sink
demand , sink
climate , sink
fight , people
accountable , battle
battle , legal
hold , legal
accountable , legal
accountable , hold
company , hold
accountable , company
accountable , oil
accountable , damage
company , damage
accountable , climate
stay , tax
destroy , tax
battle , tax
fuel , tax
accelerate , tax
save , tax
effective , tax
climate , tax
report , tax
change , tax
future , tax
promise , tax
clear , tax
accelerate , stay
save , stay
destroy , stay
ground , stay
change , stay
spread , stay
battle , stay
climate , stay
report , stay
future , stay
report , tool
threaten , tool
destroy , tool
change , tool
battle , tool
save , tool
future , tool
congress , tool
ignore , tool
climate , effective
destroy , effective
change , effective
report , we
congress , report
ignore , report
destroy , report
learn , report
american , ignore
destroy , threaten
skiing , threaten
destroy , future
america , skiing
attribution , science
attribution , climate
hope , paris
nation , world
vulnerable , world
stand , world
politician , world
fund , world
fund , nation
change , nation
nation , vulnerable
stand , vulnerable
politician , vulnerable
fund , vulnerable
fund , politician
change , politician
fund , stand
change , stand
climate , stand
fund , way
change , fund
climate , fund
change , they
climate , they
grow , wonder
we , wonder
grow , natural
grow , we
city , smart
lead , smart
fight , smart
fight , lead
grow , lead
destroy , include
economic , include
crisis , include
declare , include
grow , include
family , include
hidden , include
crisis , justice
destroy , justice
family , justice
hidden , justice
heartland , justice
crisis , economic
destroy , economic
crisis , family
family , work
crisis , hidden
climate , hidden
heartland , hidden
upend , warming
destroy , warming
life , warming
emergency , warming
destroy , global
destroy , upend
life , upend
emergency , upend
tax , upend
stay , upend
tool , upend
threaten , upend
declare , upend
natural , upend
grow , upend
medical , upend
emergency , life
change , life
destroy , life
alaska , life
community , life
climate , life
community , native
change , native
climate , native
destroy , emergency
emergency , medical
battle , declare
carbon , declare
accelerate , declare
climate , declare
clear , declare
declare , physician
destroy , physician
develop , physician
change , physician
irreversible , physician
declare , lead
develop , race
energy , race
destroy , race
change , race
irreversible , race
clean , race
clean , develop
day , insurance
earth , insurance
day , flood
day , unaffordable
million , unaffordable
earth , unaffordable
day , million
peril , promise
happen , promise
empower , promise
clear , promise
problem , promise
it , promise
community , promise
fight , promise
destroy , promise
movement , promise
global , promise
future , promise
change , promise
happen , peril
empower , peril
movement , peril
clear , peril
it , peril
community , peril
fight , peril
climate , peril
problem , warming
happen , warming
empower , warming
future , warming
happen , problem
empower , problem
empower , happen
clear , happen
community , happen
fight , happen
happen , it
empower , it
empower , rooftop
community , rooftop
fight , rooftop
empower , solar
community , solar
fight , solar
change , solar
community , empower
change , empower
clear , empower
climate , empower
accelerate , fuel
destroy , fuel
accelerate , fossil
accelerate , ground
accelerate , change
accelerate , climate
disease , spread
save , spread
infectious , spread
disease , infectious
destroy , save
save , technology
optimistic , scientist
cautiously , scientist
economy , transform
global , transform
economy , global
climate , global
agreement , declare
affect , declare
day , declare
capacity , declare
agreement , crisis
crisis , right
declare , right
crisis , human
movement , report
realize , report
affect , movement
it , movement
health , movement
affect , grassroots
america , grassroots
change , grassroots
america , push
affect , push
it , push
change , push
it , realize
protect , realize
come , realize
forest , realize
realize , you
it , you
protect , you
come , you
forest , protect
come , protect
come , forest
action , powerful
climate , powerful
crisis , powerful
strain , warn
day , warn
change , warn
capacity , warn
earth , warn
fema , warn
bet , warn
reduce , warn
day , scientist
capacity , scientist
capacity , strain
fema , strain
bet , strain
reduce , strain
response , strain
investor , strain
big , strain
capacity , change
bet , change
capacity , climate
bet , capacity
big , capacity
capacity , fema
bet , fema
america , fema
disaster , fema
big , fema
capacity , response
bet , response
capacity , disaster
bet , investor
big , investor
investor , street
bet , street
big , street
street , wall
investor , wall
bet , wall
action , bet
action , big
reduce , waste
strain , waste
dent , waste
change , dent
capacity , dent
alarmed , dent
dangerous , dent
climate , dent
dent , massive
change , massive
alarmed , scientist
reduce , scientist
alarmed , climate
change , learn
climate , learn
learn , we
rewrite , we
they , we
rule , we
rewrite , they
estate , rewrite
estate , rule
american , rule
real , rule
estate , real
dangerous , link
drive , link
adapt , link
church , link
elderly , link
air , link
health , link
farmer , link
fight , link
change , pollution
climate , pollution
matter , pollution
join , pollution
adapt , matter
join , matter
health , matter
farmer , matter
fight , matter
dangerous , matter
church , matter
health , it
farmer , it
adapt , health
adapt , farmer
change , farmer
it , stop
change , join
climate , join
dangerous , join
drive , join
change , church
join , mosque
change , mosque
join , temple
child , dangerous
dangerous , summer
elderly , summer
drive , summer
child , summer
drive , elderly
drive , opportunity
fight , opportunity
clean , opportunity
energy , opportunity
emission , opportunity
disrupt , opportunity
change , opportunity
affect , opportunity
dollar , trillion
opportunity , trillion
drive , trillion
carbon , drive
affect , fight
unprepared , way
unprepared , we
denier , unprepared
science , unprepared
block , unprepared
block , denier
america , denier
climate , denier
denier , science
block , science
progress , science
america , block
drive , standard
emission , standard
fight , standard
disrupt , standard
fight , state
disrupt , state
disrupt , fight
college , fight
bad , fight
democracy , fight
college , disrupt
bad , disrupt
bird , disrupt
change , democracy
climate , democracy
bird , pattern
college , pattern
force , pattern
change , pattern
bad , pattern
fish , pattern
bird , migration
force , student
divest , student
change , student
bad , student
divest , force
divest , university
map , warming
trigger , warming
civilization , map
city , map
crisis , map
bad , map
human , map
major , map
american , map
action , map
community , map
climate , map
financial , map
civilization , human
action , need
community , need
crisis , need
city , major
american , major
community , plan
color , plan
justice , lead
environmental , lead
crisis , trigger
global , trigger
financial , trigger
influence , trigger
crisis , global
financial , global
crisis , financial
climate , wan
change , industry
change , influence
climate , influence
influence , political
change , political
bad , flooding
later , not-save
agreement , not-save
country , not-save
decide , not-save
change , not-save
infrastructure , not-save
need , not-save
election , not-save
climate , not-save
america , not-save
action , not-save
path , world
not-save , report
act , report
later , report
path , report
economy , new
climate , new
agreement , new
later , trillion
threaten , trillion
country , trillion
decide , trillion
change , trillion
infrastructure , trillion
need , trillion
agreement , later
country , later
decide , later
change , later
infrastructure , later
infrastructure , threaten
need , threaten
country , threaten
decide , threaten
pledge , threaten
action , infrastructure
pledge , we
predict , scientist
crisis , scientist
ago , scientist
decade , scientist
crisis , predict
ago , predict
decade , predict
ago , crisis
crisis , today
climate , today
ago , today
ago , climate
ago , decade
poverty , worsen
country , worsen
decide , worsen
prove , worsen
odd , worsen
voter , worsen
election , worsen
south , worsen
country , poverty
decide , poverty
american , poverty
action , country
climate , country
action , prove
climate , prove
growth , prove
decide , prove
decide , odd
capture , decide
decide , voter
election , voter
help , voter
capture , election
carbon , election
capture , carbon
help , technology
coastline , erode
country , erode
decide , erode
act , erode
change , erode
election , erode
home , lose
community , role
drive , role
faith , role
action , role
change , role
bill , role
community , faith
drive , require
bill , require
community , require
action , require
climate , require
grocery , require
lead , require
drive , progress
change , progress
bill , progress
action , individual
bill , drive
america , bill
bill , grocery
lead , state
change , state
america , state
revolution , state
climate , state
energy , lead
change , clean
mean , warming
signing , warming
crisis , warming
inequality , mean
leave , mean
allergy , america
afford , year
warming , year
mean , year
worse , year
world , year
not-wait , year
global , year
signing , year
worsen , year
crisis , year
long , year
day , year
action , afford
afford , world
not-wait , world
long , world
day , world
long , not-wait
day , not-wait
action , not-wait
landmark , not-wait
climate , not-wait
history , not-wait
day , long
landmark , long
day , landmark
history , landmark
mean , signing
change , signing
inequality , signing
inequality , worsen
worse , worsen
plan , way
leave , way
protection , way
activist , way
inequality , way
future , way
environmental , way
prosperity , way
spend , way
court , way
future , plan
leave , plan
activist , plan
prosperity , protection
activist , protection
economic , protection
climate , protection
court , protection
activist , environmental
economic , environmental
activist , prosperity
day , spend
earth , spend
inequality , leave
warming , worker
global , worker
answer , justice
answer , climate
air , line
bankrupt , develop
issue , number
hard , heavy
million , trillion
regulation , rule
risk , threaten
act , study
force , movement
history , report
hidden , hide
level , story
grow , lift
leave , supply
powerful , right
flood , flooding
conflict , push
air , strain
billion , trillion
big , heavy
predict , promise
need , require
clean , clear
act , work
hit , strain
nation , state
issue , supply
grow , turning
issue , provide
bad , great
hot , know
child , kid
battle , push
plan , program
deal , hand
provide , supply
level , report
happen , rule
grow , rise
story , study
influence , study
decide , settle
global , world
public , worldwide
conflict , defend
leave , provide
founder , stop
family , home
force , push
grow , work
fight , push
bear , stand
hard , strong
point , stay
defend , push
act , number
die , stop
ground , world
number , supply
find , regulation
force , power
find , pattern
issue , matter
sign , signing
low , miserable
global , worldwide
global , public
block , break
point , stop
job , strain
bear , defend
energy , force
prove , rise
break , develop
world , worldwide
chance , rule
hot , live
earth , public
earth , worldwide
turning , work
pattern , rule
mean , think
air , job
bear , declare
hope , predict
path , way
influence , work
bear , hold
level , point
good , powerful
lead , leave
lead , lift
good , right
opportunity , risk
heavy , strong
hold , stand
bad , heavy
block , point
clean , realize
low , poor
settle , sink
power , push
air , reach
block , stay
family , national
develop , lift
decide , sink
hope , promise
bankrupt , stop
deal , reach
block , stop
defend , hold
level , stop
great , heavy
find , rule
case , face
know , live
